iter	RMSE
0	37.59763345
1	36.21546547
2	35.06433036
3	33.91563491
4	32.94163028
5	32.11074019
6	31.3077069
7	30.72261736
8	30.23140638
9	29.78962926
10	29.3770702
11	28.9999053
12	28.68832099
13	28.42813319
14	28.19343414
15	28.03349746
16	27.85767656
17	27.7305039
18	27.58122406
19	27.48195178
20	27.38461715
21	27.27925366
22	27.20361618
23	27.13639596
24	27.06397821
25	27.00227316
26	26.92644105
27	26.88401913
28	26.84521968
29	26.7894135
30	26.74599857
31	26.70614132
32	26.66903484
33	26.58829755
34	26.52392046
35	26.49579899
36	26.46196713
37	26.44027481
38	26.4087957
39	26.38538418
40	26.34218206
41	26.29151135
42	26.27360564
43	26.2392645
44	26.17437118
45	26.12375559
46	26.08310086
47	26.05287794
48	26.03823485
49	25.99279501
50	25.96296876
51	25.93346337
52	25.93118636
53	25.89329154
54	25.86730914
55	25.83659607
56	25.80676218
57	25.76028796
58	25.73157679
59	25.6997136
60	25.6796374
61	25.66921882
62	25.65323851
63	25.60203393
64	25.58314712
65	25.56392356
66	25.54587376
67	25.53758374
68	25.50557849
69	25.4497786
70	25.43201876
71	25.40991217
72	25.36702781
73	25.35304165
74	25.32127496
75	25.30419366
76	25.27937876
77	25.26022941
78	25.24810568
79	25.22409812
80	25.21090338
81	25.19356475
82	25.16609849
83	25.14471143
84	25.10615725
85	25.07328583
86	25.04488778
87	24.99588485
88	24.96694875
89	24.93829869
90	24.92710605
91	24.8907733
92	24.86355269
93	24.84936956
94	24.82731062
95	24.78945609
96	24.76367305
97	24.74024635
98	24.71408481
99	24.67161164
