iter	Passed	Remaining
0	55	5470
1	58	2851
2	65	2113
3	70	1699
4	74	1409
5	78	1226
6	80	1073
7	82	950
8	84	852
9	86	774
10	87	708
11	89	653
12	90	606
13	91	562
14	93	527
15	94	496
16	95	466
17	96	440
18	98	418
19	99	398
20	101	380
21	102	364
22	104	349
23	105	335
24	107	321
25	108	309
26	110	297
27	111	287
28	112	276
29	114	267
30	115	258
31	117	249
32	118	240
33	119	232
34	121	225
35	122	218
36	124	211
37	125	205
38	127	199
39	128	193
40	130	187
41	131	181
42	133	176
43	134	171
44	136	166
45	137	161
46	139	156
47	140	152
48	142	147
49	143	143
50	145	139
51	146	135
52	147	130
53	148	126
54	150	123
55	151	119
56	153	115
57	154	111
58	155	108
59	157	105
60	159	101
61	160	98
62	161	94
63	163	91
64	164	88
65	166	85
66	167	82
67	169	79
68	170	76
69	172	73
70	173	70
71	175	68
72	176	65
73	177	62
74	179	59
75	180	57
76	182	54
77	183	51
78	184	49
79	186	46
80	187	43
81	188	41
82	190	38
83	191	36
84	193	34
85	194	31
86	196	29
87	197	26
88	199	24
89	200	22
90	201	19
91	203	17
92	204	15
93	206	13
94	207	10
95	208	8
96	210	6
97	211	4
98	213	2
99	214	0
