Model,R2,RMSE,MAE
T1-1A_Aux_Only_Linear_Regression_Model,-0.004362816790581148,31.47828601258242,25.26462712843583
T1-1A_Aux_Only_Poly3_Model,-0.15657121873295776,33.7794018020325,26.65412485509678
T1-1A_Aux_Only_Robust_Huber_Model,-0.017118274744564843,31.67754326686104,25.069767294510253
T1-1A_Aux_Only_CatBoost_Model,-0.1669744281922465,33.93098239191034,27.122515144764474
T1-1A_Aux_Only_LightGBM_Model,-0.14858237980435263,33.66253661760275,26.868709982626743
T1-1B_SG_Only_Linear_Regression_Model,0.46124780554362776,23.054743254587265,17.940705783227738
T1-1B_SG_Only_Poly3_Model,0.460495116167153,23.070842496274086,17.840790076584796
T1-1B_SG_Only_Robust_Huber_Model,0.4591637517059881,23.099291519043668,17.89784413884771
T1-1B_SG_Only_CatBoost_Model,0.4139960977450432,24.044514817101785,19.032925162771917
T1-1B_SG_Only_LightGBM_Model,0.38919966589145283,24.547959439508624,19.390534767860384
T1-1C_SG_Aux_Linear_Regression_Model,0.4638385934294311,22.999242848573967,17.8627653242638
T1-1C_SG_Aux_Poly3_Model,-0.445827237787046,37.76799806003191,21.844201287874824
T1-1C_SG_Aux_Robust_Huber_Model,0.45844440075353965,23.114648270552113,17.79504513206607
T1-1C_SG_Aux_CatBoost_Model,0.41979392309704333,23.925272924564837,18.70551776908561
T1-1C_SG_Aux_LightGBM_Model,0.22972624376223494,27.566924369893634,21.951584776799418
